"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8084.73684211","15803.2280702","4986.45614035","281.842105263","0.93625973688","0.865020779636","0.707060411162","0.134979220364"
" beta=10000 tol=0.01 mode=cg ","8084.73684211","15803.2280702","4986.45614035","281.842105263","0.93625973688","0.865020779636","0.707060411162","0.134979220364"
" beta=10000 tol=0.01 mode=bf ","7244.84210526","18973.1578947","1816.52631579","1121.73684211","0.88719204929","0.934580286385","0.754944273831","0.0654197136153"
" beta=10000 tol=0.02 mode=cg_mg ","8261.35087719","13398.7719298","7390.9122807","105.228070175","0.971549501303","0.778850515633","0.60759490132","0.221149484367"
" beta=10000 tol=0.02 mode=cg ","8261.35087719","13398.7719298","7390.9122807","105.228070175","0.971549501303","0.778850515633","0.60759490132","0.221149484367"
" beta=10000 tol=0.02 mode=bf ","7244.84210526","18973.1578947","1816.52631579","1121.73684211","0.88719204929","0.934580286385","0.754944273831","0.0654197136153"
" beta=10000 tol=0.0001 mode=cg_mg ","7239.85964912","18963.9122807","1825.77192982","1126.71929825","0.886965718507","0.934455884605","0.754620052036","0.0655441153952"
" beta=10000 tol=0.0001 mode=cg ","7239.85964912","18963.9122807","1825.77192982","1126.71929825","0.886965718507","0.934455884605","0.754620052036","0.0655441153952"
" beta=10000 tol=0.0001 mode=bf ","7244.84210526","18973.1578947","1816.52631579","1121.73684211","0.88719204929","0.934580286385","0.754944273831","0.0654197136153"
" beta=20000 tol=0.01 mode=cg_mg ","8198.96491228","15046.7192982","5742.96491228","167.614035088","0.962017180502","0.819320913486","0.649821926412","0.180679086514"
" beta=20000 tol=0.01 mode=cg ","8198.96491228","15046.7192982","5742.96491228","167.614035088","0.962017180502","0.819320913486","0.649821926412","0.180679086514"
" beta=20000 tol=0.01 mode=bf ","7595.45614035","18523.2807018","2266.40350877","771.122807018","0.89773285954","0.924498881675","0.743596571463","0.0755011183245"
" beta=20000 tol=0.02 mode=cg_mg ","8307.49122807","12514.3508772","8275.33333333","59.0877192982","0.987144980372","0.722736107485","0.543130178689","0.277263892515"
" beta=20000 tol=0.02 mode=cg ","8307.49122807","12514.3508772","8275.33333333","59.0877192982","0.987144980372","0.722736107485","0.543130178689","0.277263892515"
" beta=20000 tol=0.02 mode=bf ","7595.45614035","18523.2807018","2266.40350877","771.122807018","0.89773285954","0.924498881675","0.743596571463","0.0755011183245"
" beta=20000 tol=0.0001 mode=cg_mg ","7593.80701754","18507.9473684","2281.73684211","772.771929825","0.898192931678","0.923847348781","0.742655120832","0.0761526512188"
" beta=20000 tol=0.0001 mode=cg ","7593.80701754","18507.9473684","2281.73684211","772.771929825","0.898192931678","0.923847348781","0.742655120832","0.0761526512188"
" beta=20000 tol=0.0001 mode=bf ","7595.45614035","18523.2807018","2266.40350877","771.122807018","0.89773285954","0.924498881675","0.743596571463","0.0755011183245"
" beta=30000 tol=0.01 mode=cg_mg ","8262.36842105","14234.5614035","6555.12280702","104.210526316","0.97707693653","0.778677235457","0.603477244288","0.221322764543"
" beta=30000 tol=0.01 mode=cg ","8262.36842105","14234.5614035","6555.12280702","104.210526316","0.97707693653","0.778677235457","0.603477244288","0.221322764543"
" beta=30000 tol=0.01 mode=bf ","7739.87719298","18198.1578947","2591.52631579","626.701754386","0.901704754413","0.91407973274","0.728638538332","0.0859202672596"
" beta=30000 tol=0.02 mode=cg_mg ","8304.31578947","12441.7894737","8347.89473684","62.2631578947","0.986485960823","0.722822097643","0.537232931865","0.277177902357"
" beta=30000 tol=0.02 mode=cg ","8304.31578947","12441.7894737","8347.89473684","62.2631578947","0.986485960823","0.722822097643","0.537232931865","0.277177902357"
" beta=30000 tol=0.02 mode=bf ","7739.87719298","18198.1578947","2591.52631579","626.701754386","0.901704754413","0.91407973274","0.728638538332","0.0859202672596"
" beta=30000 tol=0.0001 mode=cg_mg ","7741.22807018","18183.2280702","2606.45614035","625.350877193","0.902148351867","0.913057149397","0.726937231169","0.0869428506033"
" beta=30000 tol=0.0001 mode=cg ","7741.22807018","18183.2280702","2606.45614035","625.350877193","0.902148351867","0.913057149397","0.726937231169","0.0869428506033"
" beta=30000 tol=0.0001 mode=bf ","7739.87719298","18198.1578947","2591.52631579","626.701754386","0.901704754413","0.91407973274","0.728638538332","0.0859202672596"
" beta=40000 tol=0.01 mode=cg_mg ","8267.75438596","13947.245614","6842.43859649","98.8245614035","0.977416847473","0.767403754357","0.582745776649","0.232596245643"
" beta=40000 tol=0.01 mode=cg ","8267.75438596","13947.245614","6842.43859649","98.8245614035","0.977416847473","0.767403754357","0.582745776649","0.232596245643"
" beta=40000 tol=0.01 mode=bf ","7817.12280702","17979.3508772","2810.33333333","549.456140351","0.901976826342","0.90663036211","0.716144921748","0.0933696378904"
" beta=40000 tol=0.02 mode=cg_mg ","8299.94736842","12529.5263158","8260.15789474","66.6315789474","0.983826924745","0.730996296188","0.543820171153","0.269003703812"
" beta=40000 tol=0.02 mode=cg ","8299.94736842","12529.5263158","8260.15789474","66.6315789474","0.983826924745","0.730996296188","0.543820171153","0.269003703812"
" beta=40000 tol=0.02 mode=bf ","7817.12280702","17979.3508772","2810.33333333","549.456140351","0.901976826342","0.90663036211","0.716144921748","0.0933696378904"
" beta=40000 tol=0.0001 mode=cg_mg ","7822.1754386","17934.4210526","2855.26315789","544.403508772","0.90402492469","0.90388577792","0.713314101148","0.0961142220796"
" beta=40000 tol=0.0001 mode=cg ","7822.1754386","17934.4210526","2855.26315789","544.403508772","0.90402492469","0.90388577792","0.713314101148","0.0961142220796"
" beta=40000 tol=0.0001 mode=bf ","7817.12280702","17979.3508772","2810.33333333","549.456140351","0.901976826342","0.90663036211","0.716144921748","0.0933696378904"
