"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8052.98245614","17512.4561404","3277.22807018","313.596491228","0.940815316194","0.885061256704","0.716713727392","0.114938743296"
" beta=10000 tol=0.01 mode=cg ","8052.98245614","17512.4561404","3277.22807018","313.596491228","0.940815316194","0.885061256704","0.716713727392","0.114938743296"
" beta=10000 tol=0.01 mode=bf ","8077.45614035","17497.877193","3291.80701754","289.122807018","0.946168578965","0.878975304065","0.708674658772","0.121024695935"
" beta=10000 tol=0.02 mode=cg_mg ","7949.40350877","18312.6315789","2477.05263158","417.175438596","0.92793038186","0.917598990608","0.757825080385","0.0824010093917"
" beta=10000 tol=0.02 mode=cg ","7949.40350877","18312.6315789","2477.05263158","417.175438596","0.92793038186","0.917598990608","0.757825080385","0.0824010093917"
" beta=10000 tol=0.02 mode=bf ","8077.45614035","17497.877193","3291.80701754","289.122807018","0.946168578965","0.878975304065","0.708674658772","0.121024695935"
" beta=10000 tol=0.0001 mode=cg_mg ","8077.49122807","17497.2807018","3292.40350877","289.087719298","0.946248531546","0.878964368161","0.708696443388","0.121035631839"
" beta=10000 tol=0.0001 mode=cg ","8077.49122807","17497.2807018","3292.40350877","289.087719298","0.946248531546","0.878964368161","0.708696443388","0.121035631839"
" beta=10000 tol=0.0001 mode=bf ","8077.45614035","17497.877193","3291.80701754","289.122807018","0.946168578965","0.878975304065","0.708674658772","0.121024695935"
" beta=20000 tol=0.01 mode=cg_mg ","8080.68421053","17638.4912281","3151.19298246","285.894736842","0.92855024741","0.897111843158","0.726915528463","0.102888156842"
" beta=20000 tol=0.01 mode=cg ","8080.68421053","17638.4912281","3151.19298246","285.894736842","0.92855024741","0.897111843158","0.726915528463","0.102888156842"
" beta=20000 tol=0.01 mode=bf ","8119.10526316","17146.245614","3643.43859649","247.473684211","0.941325695721","0.865266690952","0.688867610565","0.134733309048"
" beta=20000 tol=0.02 mode=cg_mg ","8026.40350877","18029.5789474","2760.10526316","340.175438596","0.925156761837","0.907380777067","0.729336025014","0.0926192229329"
" beta=20000 tol=0.02 mode=cg ","8026.40350877","18029.5789474","2760.10526316","340.175438596","0.925156761837","0.907380777067","0.729336025014","0.0926192229329"
" beta=20000 tol=0.02 mode=bf ","8119.10526316","17146.245614","3643.43859649","247.473684211","0.941325695721","0.865266690952","0.688867610565","0.134733309048"
" beta=20000 tol=0.0001 mode=cg_mg ","8119.29824561","17144.5087719","3645.1754386","247.280701754","0.941399118381","0.865240714239","0.688945914925","0.134759285761"
" beta=20000 tol=0.0001 mode=cg ","8119.29824561","17144.5087719","3645.1754386","247.280701754","0.941399118381","0.865240714239","0.688945914925","0.134759285761"
" beta=20000 tol=0.0001 mode=bf ","8119.10526316","17146.245614","3643.43859649","247.473684211","0.941325695721","0.865266690952","0.688867610565","0.134733309048"
" beta=30000 tol=0.01 mode=cg_mg ","8075.0","17466.0","3323.68421053","291.578947368","0.923366550272","0.889364577162","0.707805134751","0.110635422838"
" beta=30000 tol=0.01 mode=cg ","8075.0","17466.0","3323.68421053","291.578947368","0.923366550272","0.889364577162","0.707805134751","0.110635422838"
" beta=30000 tol=0.01 mode=bf ","8119.15789474","16888.8070175","3900.87719298","247.421052632","0.934519153646","0.858612078675","0.674082640879","0.141387921325"
" beta=30000 tol=0.02 mode=cg_mg ","8041.68421053","17290.7719298","3498.9122807","324.894736842","0.927610370558","0.867524613418","0.679463683813","0.132475386582"
" beta=30000 tol=0.02 mode=cg ","8041.68421053","17290.7719298","3498.9122807","324.894736842","0.927610370558","0.867524613418","0.679463683813","0.132475386582"
" beta=30000 tol=0.02 mode=bf ","8119.15789474","16888.8070175","3900.87719298","247.421052632","0.934519153646","0.858612078675","0.674082640879","0.141387921325"
" beta=30000 tol=0.0001 mode=cg_mg ","8117.70175439","16900.8070175","3888.87719298","248.877192982","0.933014742472","0.86083383973","0.677909929086","0.13916616027"
" beta=30000 tol=0.0001 mode=cg ","8117.70175439","16900.8070175","3888.87719298","248.877192982","0.933014742472","0.86083383973","0.677909929086","0.13916616027"
" beta=30000 tol=0.0001 mode=bf ","8119.15789474","16888.8070175","3900.87719298","247.421052632","0.934519153646","0.858612078675","0.674082640879","0.141387921325"
" beta=40000 tol=0.01 mode=cg_mg ","8057.45614035","17082.4736842","3707.21052632","309.122807018","0.918074489156","0.871726934575","0.677300820969","0.128273065425"
" beta=40000 tol=0.01 mode=cg ","8057.45614035","17082.4736842","3707.21052632","309.122807018","0.918074489156","0.871726934575","0.677300820969","0.128273065425"
" beta=40000 tol=0.01 mode=bf ","8120.15789474","16709.1754386","4080.50877193","246.421052632","0.931759827822","0.854521869827","0.664134918772","0.145478130173"
