"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7768.15789474","16254.754386","4534.92982456","598.421052632","0.888286938647","0.894654090175","0.715792196331","0.105345909825"
" beta=10000 tol=0.01 mode=cg ","7768.15789474","16254.754386","4534.92982456","598.421052632","0.888286938647","0.894654090175","0.715792196331","0.105345909825"
" beta=10000 tol=0.01 mode=bf ","5659.64912281","19819.8421053","969.842105263","2706.92982456","0.765549791408","0.968248115643","0.700992115902","0.0317518843574"
" beta=10000 tol=0.02 mode=cg_mg ","8177.36842105","13569.4210526","7220.26315789","189.210526316","0.96251446319","0.797816886459","0.631825512276","0.202183113541"
" beta=10000 tol=0.02 mode=cg ","8177.36842105","13569.4210526","7220.26315789","189.210526316","0.96251446319","0.797816886459","0.631825512276","0.202183113541"
" beta=10000 tol=0.02 mode=bf ","5659.64912281","19819.8421053","969.842105263","2706.92982456","0.765549791408","0.968248115643","0.700992115902","0.0317518843574"
" beta=10000 tol=0.0001 mode=cg_mg ","5643.28070175","19812.6666667","977.01754386","2723.29824561","0.765519094722","0.968081281513","0.700720977653","0.0319187184866"
" beta=10000 tol=0.0001 mode=cg ","5643.28070175","19812.6666667","977.01754386","2723.29824561","0.765519094722","0.968081281513","0.700720977653","0.0319187184866"
" beta=10000 tol=0.0001 mode=bf ","5659.64912281","19819.8421053","969.842105263","2706.92982456","0.765549791408","0.968248115643","0.700992115902","0.0317518843574"
" beta=20000 tol=0.01 mode=cg_mg ","8014.64912281","15325.9649123","5463.71929825","351.929824561","0.945302962723","0.844377683414","0.672710531392","0.155622316586"
" beta=20000 tol=0.01 mode=cg ","8014.64912281","15325.9649123","5463.71929825","351.929824561","0.945302962723","0.844377683414","0.672710531392","0.155622316586"
" beta=20000 tol=0.01 mode=bf ","6787.14035088","19342.7368421","1446.94736842","1579.43859649","0.831143292582","0.954585886495","0.734641096577","0.0454141135052"
" beta=20000 tol=0.02 mode=cg_mg ","8247.68421053","12676.8947368","8112.78947368","118.894736842","0.982533244932","0.743046924798","0.561345264464","0.256953075202"
" beta=20000 tol=0.02 mode=cg ","8247.68421053","12676.8947368","8112.78947368","118.894736842","0.982533244932","0.743046924798","0.561345264464","0.256953075202"
" beta=20000 tol=0.02 mode=bf ","6787.14035088","19342.7368421","1446.94736842","1579.43859649","0.831143292582","0.954585886495","0.734641096577","0.0454141135052"
" beta=20000 tol=0.0001 mode=cg_mg ","6787.33333333","19326.3508772","1463.33333333","1579.24561404","0.831580452353","0.954017323111","0.733789562305","0.0459826768893"
" beta=20000 tol=0.0001 mode=cg ","6787.33333333","19326.3508772","1463.33333333","1579.24561404","0.831580452353","0.954017323111","0.733789562305","0.0459826768893"
" beta=20000 tol=0.0001 mode=bf ","6787.14035088","19342.7368421","1446.94736842","1579.43859649","0.831143292582","0.954585886495","0.734641096577","0.0454141135052"
" beta=30000 tol=0.01 mode=cg_mg ","8114.78947368","14417.5087719","6372.1754386","251.789473684","0.962724827742","0.792302493315","0.613517899858","0.207697506685"
" beta=30000 tol=0.01 mode=cg ","8114.78947368","14417.5087719","6372.1754386","251.789473684","0.962724827742","0.792302493315","0.613517899858","0.207697506685"
" beta=30000 tol=0.01 mode=bf ","7131.38596491","19002.9298246","1786.75438596","1235.19298246","0.856880889567","0.943976682761","0.739997599942","0.056023317239"
" beta=30000 tol=0.02 mode=cg_mg ","8264.24561404","12567.9473684","8221.73684211","102.333333333","0.982988656231","0.738549410572","0.556589019522","0.261450589428"
" beta=30000 tol=0.02 mode=cg ","8264.24561404","12567.9473684","8221.73684211","102.333333333","0.982988656231","0.738549410572","0.556589019522","0.261450589428"
" beta=30000 tol=0.02 mode=bf ","7131.38596491","19002.9298246","1786.75438596","1235.19298246","0.856880889567","0.943976682761","0.739997599942","0.056023317239"
" beta=30000 tol=0.0001 mode=cg_mg ","7133.64912281","18986.3859649","1803.29824561","1232.92982456","0.856939592005","0.942986490664","0.737894417235","0.057013509336"
" beta=30000 tol=0.0001 mode=cg ","7133.64912281","18986.3859649","1803.29824561","1232.92982456","0.856939592005","0.942986490664","0.737894417235","0.057013509336"
" beta=30000 tol=0.0001 mode=bf ","7131.38596491","19002.9298246","1786.75438596","1235.19298246","0.856880889567","0.943976682761","0.739997599942","0.056023317239"
" beta=40000 tol=0.01 mode=cg_mg ","8198.0","14079.4736842","6710.21052632","168.578947368","0.969216451581","0.780239997935","0.602015545336","0.219760002065"
" beta=40000 tol=0.01 mode=cg ","8198.0","14079.4736842","6710.21052632","168.578947368","0.969216451581","0.780239997935","0.602015545336","0.219760002065"
" beta=40000 tol=0.01 mode=bf ","7321.0877193","18765.3859649","2024.29824561","1045.49122807","0.868068977566","0.935041190701","0.732404769224","0.0649588092987"
" beta=40000 tol=0.02 mode=cg_mg ","8270.0877193","12847.3684211","7942.31578947","96.4912280702","0.98097336101","0.759066368922","0.573105560521","0.240933631078"
" beta=40000 tol=0.02 mode=cg ","8270.0877193","12847.3684211","7942.31578947","96.4912280702","0.98097336101","0.759066368922","0.573105560521","0.240933631078"
" beta=40000 tol=0.02 mode=bf ","7321.0877193","18765.3859649","2024.29824561","1045.49122807","0.868068977566","0.935041190701","0.732404769224","0.0649588092987"
" beta=40000 tol=0.0001 mode=cg_mg ","7330.43859649","18712.5263158","2077.15789474","1036.14035088","0.872493858825","0.931341951568","0.727562628851","0.0686580484315"
" beta=40000 tol=0.0001 mode=cg ","7330.43859649","18712.5263158","2077.15789474","1036.14035088","0.872493858825","0.931341951568","0.727562628851","0.0686580484315"
" beta=40000 tol=0.0001 mode=bf ","7321.0877193","18765.3859649","2024.29824561","1045.49122807","0.868068977566","0.935041190701","0.732404769224","0.0649588092987"
