"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7665.19298246","17289.7368421","3499.94736842","701.385964912","0.863561447718","0.926199849373","0.735381863701","0.0738001506273"
" beta=10000 tol=0.01 mode=cg ","7665.19298246","17289.7368421","3499.94736842","701.385964912","0.863561447718","0.926199849373","0.735381863701","0.0738001506273"
" beta=10000 tol=0.01 mode=bf ","5082.96491228","20497.9473684","291.736842105","3283.61403509","0.736641167855","0.984954210941","0.69987279975","0.0150457890589"
" beta=10000 tol=0.02 mode=cg_mg ","8126.63157895","14860.5964912","5929.0877193","239.947368421","0.947432964272","0.844994368787","0.6765708976","0.155005631213"
" beta=10000 tol=0.02 mode=cg ","8126.63157895","14860.5964912","5929.0877193","239.947368421","0.947432964272","0.844994368787","0.6765708976","0.155005631213"
" beta=10000 tol=0.02 mode=bf ","5082.96491228","20497.9473684","291.736842105","3283.61403509","0.736641167855","0.984954210941","0.69987279975","0.0150457890589"
" beta=10000 tol=0.0001 mode=cg_mg ","5081.94736842","20498.8421053","290.842105263","3284.63157895","0.736524861575","0.984937565954","0.699732600224","0.0150624340464"
" beta=10000 tol=0.0001 mode=cg ","5081.94736842","20498.8421053","290.842105263","3284.63157895","0.736524861575","0.984937565954","0.699732600224","0.0150624340464"
" beta=10000 tol=0.0001 mode=bf ","5082.96491228","20497.9473684","291.736842105","3283.61403509","0.736641167855","0.984954210941","0.69987279975","0.0150457890589"
" beta=20000 tol=0.01 mode=cg_mg ","7993.1754386","16396.5087719","4393.1754386","373.403508772","0.934509930592","0.875016532811","0.700469269359","0.124983467189"
" beta=20000 tol=0.01 mode=cg ","7993.1754386","16396.5087719","4393.1754386","373.403508772","0.934509930592","0.875016532811","0.700469269359","0.124983467189"
" beta=20000 tol=0.01 mode=bf ","6765.1754386","19983.1929825","806.49122807","1601.40350877","0.825473048521","0.970997310383","0.756391612259","0.0290026896174"
" beta=20000 tol=0.02 mode=cg_mg ","8235.31578947","14029.754386","6759.92982456","131.263157895","0.975792717605","0.790117477427","0.611941423523","0.209882522573"
" beta=20000 tol=0.02 mode=cg ","8235.31578947","14029.754386","6759.92982456","131.263157895","0.975792717605","0.790117477427","0.611941423523","0.209882522573"
" beta=20000 tol=0.02 mode=bf ","6765.1754386","19983.1929825","806.49122807","1601.40350877","0.825473048521","0.970997310383","0.756391612259","0.0290026896174"
" beta=20000 tol=0.0001 mode=cg_mg ","6773.52631579","19972.1754386","817.50877193","1593.05263158","0.826241098306","0.970737900833","0.756334883661","0.0292620991669"
" beta=20000 tol=0.0001 mode=cg ","6773.52631579","19972.1754386","817.50877193","1593.05263158","0.826241098306","0.970737900833","0.756334883661","0.0292620991669"
" beta=20000 tol=0.0001 mode=bf ","6765.1754386","19983.1929825","806.49122807","1601.40350877","0.825473048521","0.970997310383","0.756391612259","0.0290026896174"
" beta=30000 tol=0.01 mode=cg_mg ","8118.43859649","15637.2280702","5152.45614035","248.140350877","0.958715041605","0.833855855114","0.654642113824","0.166144144886"
" beta=30000 tol=0.01 mode=cg ","8118.43859649","15637.2280702","5152.45614035","248.140350877","0.958715041605","0.833855855114","0.654642113824","0.166144144886"
" beta=30000 tol=0.01 mode=bf ","7189.14035088","19541.6491228","1248.03508772","1177.43859649","0.848531524497","0.957127067914","0.749816694893","0.0428729320856"
" beta=30000 tol=0.02 mode=cg_mg ","8266.52631579","13779.9122807","7009.77192982","100.052631579","0.978649356945","0.781553022358","0.599568508104","0.218446977642"
" beta=30000 tol=0.02 mode=cg ","8266.52631579","13779.9122807","7009.77192982","100.052631579","0.978649356945","0.781553022358","0.599568508104","0.218446977642"
" beta=30000 tol=0.02 mode=bf ","7189.14035088","19541.6491228","1248.03508772","1177.43859649","0.848531524497","0.957127067914","0.749816694893","0.0428729320856"
" beta=30000 tol=0.0001 mode=cg_mg ","7194.8245614","19517.4912281","1272.19298246","1171.75438596","0.849390698267","0.956104644658","0.748418358887","0.0438953553423"
" beta=30000 tol=0.0001 mode=cg ","7194.8245614","19517.4912281","1272.19298246","1171.75438596","0.849390698267","0.956104644658","0.748418358887","0.0438953553423"
" beta=30000 tol=0.0001 mode=bf ","7189.14035088","19541.6491228","1248.03508772","1177.43859649","0.848531524497","0.957127067914","0.749816694893","0.0428729320856"
" beta=40000 tol=0.01 mode=cg_mg ","8178.98245614","15208.5263158","5581.15789474","187.596491228","0.965973270422","0.815877057505","0.638092084106","0.184122942495"
" beta=40000 tol=0.01 mode=cg ","8178.98245614","15208.5263158","5581.15789474","187.596491228","0.965973270422","0.815877057505","0.638092084106","0.184122942495"
" beta=40000 tol=0.01 mode=bf ","7375.33333333","19249.8070175","1539.87719298","991.245614035","0.85761671916","0.946434126703","0.738218741496","0.0535658732972"
" beta=40000 tol=0.02 mode=cg_mg ","8273.71929825","13966.3859649","6823.29824561","92.8596491228","0.977195890763","0.795041053014","0.615398543317","0.204958946986"
