"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8055.15789474","17546.2982456","3243.38596491","311.421052632","0.942514284531","0.902280687315","0.744124602067","0.0977193126847"
" beta=10000 tol=0.01 mode=cg ","8055.15789474","17546.2982456","3243.38596491","311.421052632","0.942514284531","0.902280687315","0.744124602067","0.0977193126847"
" beta=10000 tol=0.01 mode=bf ","8046.19298246","17630.7719298","3158.9122807","320.385964912","0.945139535993","0.900975056935","0.740706104503","0.0990249430654"
" beta=10000 tol=0.02 mode=cg_mg ","7971.66666667","18159.754386","2629.92982456","394.912280702","0.930642285548","0.924753993912","0.772866138573","0.0752460060877"
" beta=10000 tol=0.02 mode=cg ","7971.66666667","18159.754386","2629.92982456","394.912280702","0.930642285548","0.924753993912","0.772866138573","0.0752460060877"
" beta=10000 tol=0.02 mode=bf ","8046.19298246","17630.7719298","3158.9122807","320.385964912","0.945139535993","0.900975056935","0.740706104503","0.0990249430654"
" beta=10000 tol=0.0001 mode=cg_mg ","8046.33333333","17629.3684211","3160.31578947","320.245614035","0.945153402324","0.900904815997","0.740540798233","0.0990951840028"
" beta=10000 tol=0.0001 mode=cg ","8046.33333333","17629.3684211","3160.31578947","320.245614035","0.945153402324","0.900904815997","0.740540798233","0.0990951840028"
" beta=10000 tol=0.0001 mode=bf ","8046.19298246","17630.7719298","3158.9122807","320.385964912","0.945139535993","0.900975056935","0.740706104503","0.0990249430654"
" beta=20000 tol=0.01 mode=cg_mg ","8081.57894737","17854.9298246","2934.75438596","285.0","0.930294028608","0.91255065269","0.74909990673","0.0874493473102"
" beta=20000 tol=0.01 mode=cg ","8081.57894737","17854.9298246","2934.75438596","285.0","0.930294028608","0.91255065269","0.74909990673","0.0874493473102"
" beta=20000 tol=0.01 mode=bf ","8101.70175439","17434.5087719","3355.1754386","264.877192982","0.940128944571","0.887582181326","0.717573167352","0.112417818674"
" beta=20000 tol=0.02 mode=cg_mg ","8020.84210526","17859.9122807","2929.77192982","345.736842105","0.92470403419","0.905042607663","0.733910770403","0.0949573923371"
" beta=20000 tol=0.02 mode=cg ","8020.84210526","17859.9122807","2929.77192982","345.736842105","0.92470403419","0.905042607663","0.733910770403","0.0949573923371"
" beta=20000 tol=0.02 mode=bf ","8101.70175439","17434.5087719","3355.1754386","264.877192982","0.940128944571","0.887582181326","0.717573167352","0.112417818674"
" beta=20000 tol=0.0001 mode=cg_mg ","8101.89473684","17435.5438596","3354.14035088","264.684210526","0.940129975349","0.887664721432","0.717684215176","0.112335278568"
" beta=20000 tol=0.0001 mode=cg ","8101.89473684","17435.5438596","3354.14035088","264.684210526","0.940129975349","0.887664721432","0.717684215176","0.112335278568"
" beta=20000 tol=0.0001 mode=bf ","8101.70175439","17434.5087719","3355.1754386","264.877192982","0.940128944571","0.887582181326","0.717573167352","0.112417818674"
" beta=30000 tol=0.01 mode=cg_mg ","8090.49122807","17559.9298246","3229.75438596","276.087719298","0.917021511852","0.89864888669","0.71779228678","0.10135111331"
" beta=30000 tol=0.01 mode=cg ","8090.49122807","17559.9298246","3229.75438596","276.087719298","0.917021511852","0.89864888669","0.71779228678","0.10135111331"
" beta=30000 tol=0.01 mode=bf ","8119.61403509","17154.2982456","3635.38596491","246.964912281","0.933764451035","0.874594580344","0.69517649573","0.125405419656"
" beta=30000 tol=0.02 mode=cg_mg ","8055.54385965","17080.4912281","3709.19298246","311.035087719","0.932526832657","0.852664029543","0.661143417018","0.147335970457"
" beta=30000 tol=0.02 mode=cg ","8055.54385965","17080.4912281","3709.19298246","311.035087719","0.932526832657","0.852664029543","0.661143417018","0.147335970457"
" beta=30000 tol=0.02 mode=bf ","8119.61403509","17154.2982456","3635.38596491","246.964912281","0.933764451035","0.874594580344","0.69517649573","0.125405419656"
" beta=30000 tol=0.0001 mode=cg_mg ","8117.9122807","17154.4385965","3635.24561404","248.666666667","0.932089520606","0.874834165473","0.694678072339","0.125165834527"
" beta=30000 tol=0.0001 mode=cg ","8117.9122807","17154.4385965","3635.24561404","248.666666667","0.932089520606","0.874834165473","0.694678072339","0.125165834527"
" beta=30000 tol=0.0001 mode=bf ","8119.61403509","17154.2982456","3635.38596491","246.964912281","0.933764451035","0.874594580344","0.69517649573","0.125405419656"
" beta=40000 tol=0.01 mode=cg_mg ","8111.14035088","17165.5964912","3624.0877193","255.438596491","0.929351372015","0.873893353977","0.683477769818","0.126106646023"
" beta=40000 tol=0.01 mode=cg ","8111.14035088","17165.5964912","3624.0877193","255.438596491","0.929351372015","0.873893353977","0.683477769818","0.126106646023"
" beta=40000 tol=0.01 mode=bf ","8121.1754386","16955.0175439","3834.66666667","245.403508772","0.929048146921","0.866258019107","0.682636597974","0.133741980893"
" beta=40000 tol=0.02 mode=cg_mg ","8073.47368421","16452.5087719","4337.1754386","293.105263158","0.941620944258","0.817855667414","0.610872576619","0.182144332586"
" beta=40000 tol=0.02 mode=cg ","8073.47368421","16452.5087719","4337.1754386","293.105263158","0.941620944258","0.817855667414","0.610872576619","0.182144332586"
" beta=40000 tol=0.02 mode=bf ","8121.1754386","16955.0175439","3834.66666667","245.403508772","0.929048146921","0.866258019107","0.682636597974","0.133741980893"
" beta=40000 tol=0.0001 mode=cg_mg ","8118.98245614","16961.8596491","3827.8245614","247.596491228","0.926721985459","0.866814640381","0.681577971815","0.133185359619"
" beta=40000 tol=0.0001 mode=cg ","8118.98245614","16961.8596491","3827.8245614","247.596491228","0.926721985459","0.866814640381","0.681577971815","0.133185359619"
" beta=40000 tol=0.0001 mode=bf ","8121.1754386","16955.0175439","3834.66666667","245.403508772","0.929048146921","0.866258019107","0.682636597974","0.133741980893"
