"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8115.71929825","15922.9473684","4866.73684211","250.859649123","0.96008197916","0.879135298333","0.725296384321","0.120864701667"
" beta=10000 tol=0.01 mode=cg ","8115.71929825","15922.9473684","4866.73684211","250.859649123","0.96008197916","0.879135298333","0.725296384321","0.120864701667"
" beta=10000 tol=0.01 mode=bf ","7702.29824561","18706.6491228","2083.03508772","664.280701754","0.93489035502","0.933999635327","0.779651938595","0.0660003646733"
" beta=10000 tol=0.02 mode=cg_mg ","8267.77192982","13617.8596491","7171.8245614","98.8070175439","0.981828011958","0.800259232898","0.631581327483","0.199740767102"
" beta=10000 tol=0.02 mode=cg ","8267.77192982","13617.8596491","7171.8245614","98.8070175439","0.981828011958","0.800259232898","0.631581327483","0.199740767102"
" beta=10000 tol=0.02 mode=bf ","7702.29824561","18706.6491228","2083.03508772","664.280701754","0.93489035502","0.933999635327","0.779651938595","0.0660003646733"
" beta=10000 tol=0.0001 mode=cg_mg ","7701.54385965","18702.2280702","2087.45614035","665.035087719","0.9349418433","0.933916948291","0.779584537082","0.0660830517089"
" beta=10000 tol=0.0001 mode=cg ","7701.54385965","18702.2280702","2087.45614035","665.035087719","0.9349418433","0.933916948291","0.779584537082","0.0660830517089"
" beta=10000 tol=0.0001 mode=bf ","7702.29824561","18706.6491228","2083.03508772","664.280701754","0.93489035502","0.933999635327","0.779651938595","0.0660003646733"
" beta=20000 tol=0.01 mode=cg_mg ","8211.54385965","15277.7368421","5511.94736842","155.035087719","0.974383719647","0.838537485731","0.671326005792","0.161462514269"
" beta=20000 tol=0.01 mode=cg ","8211.54385965","15277.7368421","5511.94736842","155.035087719","0.974383719647","0.838537485731","0.671326005792","0.161462514269"
" beta=20000 tol=0.01 mode=bf ","7853.07017544","18616.5614035","2173.12280702","513.50877193","0.937968034922","0.928636425191","0.771081058813","0.071363574809"
" beta=20000 tol=0.02 mode=cg_mg ","8301.49122807","12874.5964912","7915.0877193","65.0877192982","0.99152855251","0.750353226282","0.567029714315","0.249646773718"
" beta=20000 tol=0.02 mode=cg ","8301.49122807","12874.5964912","7915.0877193","65.0877192982","0.99152855251","0.750353226282","0.567029714315","0.249646773718"
" beta=20000 tol=0.02 mode=bf ","7853.07017544","18616.5614035","2173.12280702","513.50877193","0.937968034922","0.928636425191","0.771081058813","0.071363574809"
" beta=20000 tol=0.0001 mode=cg_mg ","7853.49122807","18611.1052632","2178.57894737","513.087719298","0.93813436055","0.928500378964","0.770898012314","0.071499621036"
" beta=20000 tol=0.0001 mode=cg ","7853.49122807","18611.1052632","2178.57894737","513.087719298","0.93813436055","0.928500378964","0.770898012314","0.071499621036"
" beta=20000 tol=0.0001 mode=bf ","7853.07017544","18616.5614035","2173.12280702","513.50877193","0.937968034922","0.928636425191","0.771081058813","0.071363574809"
" beta=30000 tol=0.01 mode=cg_mg ","8255.94736842","14522.877193","6266.80701754","110.631578947","0.983758267616","0.802459691269","0.624970114777","0.197540308731"
" beta=30000 tol=0.01 mode=cg ","8255.94736842","14522.877193","6266.80701754","110.631578947","0.983758267616","0.802459691269","0.624970114777","0.197540308731"
" beta=30000 tol=0.01 mode=bf ","7923.33333333","18439.3859649","2350.29824561","443.245614035","0.938850358446","0.92192277095","0.758764228895","0.0780772290502"
" beta=30000 tol=0.02 mode=cg_mg ","8313.36842105","12710.1754386","8079.50877193","53.2105263158","0.993337269746","0.740946470524","0.549050127404","0.259053529476"
" beta=30000 tol=0.02 mode=cg ","8313.36842105","12710.1754386","8079.50877193","53.2105263158","0.993337269746","0.740946470524","0.549050127404","0.259053529476"
" beta=30000 tol=0.02 mode=bf ","7923.33333333","18439.3859649","2350.29824561","443.245614035","0.938850358446","0.92192277095","0.758764228895","0.0780772290502"
" beta=30000 tol=0.0001 mode=cg_mg ","7925.31578947","18426.7192982","2362.96491228","441.263157895","0.939121006585","0.921165391916","0.756818141131","0.0788346080843"
" beta=30000 tol=0.0001 mode=cg ","7925.31578947","18426.7192982","2362.96491228","441.263157895","0.939121006585","0.921165391916","0.756818141131","0.0788346080843"
" beta=30000 tol=0.0001 mode=bf ","7923.33333333","18439.3859649","2350.29824561","443.245614035","0.938850358446","0.92192277095","0.758764228895","0.0780772290502"
" beta=40000 tol=0.01 mode=cg_mg ","8278.80701754","14213.754386","6575.92982456","87.7719298246","0.986420855105","0.787494054346","0.601212395228","0.212505945654"
" beta=40000 tol=0.01 mode=cg ","8278.80701754","14213.754386","6575.92982456","87.7719298246","0.986420855105","0.787494054346","0.601212395228","0.212505945654"
" beta=40000 tol=0.01 mode=bf ","7963.07017544","18267.5263158","2522.15789474","403.50877193","0.93797427221","0.915256449495","0.745137446319","0.0847435505052"
" beta=40000 tol=0.02 mode=cg_mg ","8314.42105263","12849.5789474","7940.10526316","52.1578947368","0.992770195699","0.754025072313","0.559048630141","0.245974927687"
" beta=40000 tol=0.02 mode=cg ","8314.42105263","12849.5789474","7940.10526316","52.1578947368","0.992770195699","0.754025072313","0.559048630141","0.245974927687"
" beta=40000 tol=0.02 mode=bf ","7963.07017544","18267.5263158","2522.15789474","403.50877193","0.93797427221","0.915256449495","0.745137446319","0.0847435505052"
" beta=40000 tol=0.0001 mode=cg_mg ","7967.14035088","18242.6842105","2547.0","399.438596491","0.938907435605","0.913729498212","0.742442237792","0.0862705017879"
" beta=40000 tol=0.0001 mode=cg ","7967.14035088","18242.6842105","2547.0","399.438596491","0.938907435605","0.913729498212","0.742442237792","0.0862705017879"
" beta=40000 tol=0.0001 mode=bf ","7963.07017544","18267.5263158","2522.15789474","403.50877193","0.93797427221","0.915256449495","0.745137446319","0.0847435505052"
