"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8020.92982456","16154.5087719","4635.1754386","345.649122807","0.939817650845","0.835646841883","0.651781366175","0.164353158117"
" beta=10000 tol=0.01 mode=cg ","8020.92982456","16154.5087719","4635.1754386","345.649122807","0.939817650845","0.835646841883","0.651781366175","0.164353158117"
" beta=10000 tol=0.01 mode=bf ","8014.05263158","16427.4736842","4362.21052632","352.526315789","0.941924224265","0.844765868351","0.661065570333","0.155234131649"
" beta=10000 tol=0.02 mode=cg_mg ","7983.01754386","16773.7368421","4015.94736842","383.561403509","0.929990919349","0.87383602318","0.70356696493","0.12616397682"
" beta=10000 tol=0.02 mode=cg ","7983.01754386","16773.7368421","4015.94736842","383.561403509","0.929990919349","0.87383602318","0.70356696493","0.12616397682"
" beta=10000 tol=0.02 mode=bf ","8014.05263158","16427.4736842","4362.21052632","352.526315789","0.941924224265","0.844765868351","0.661065570333","0.155234131649"
" beta=10000 tol=0.0001 mode=cg_mg ","8014.73684211","16427.4561404","4362.22807018","351.842105263","0.942027266836","0.844732060312","0.661058083518","0.155267939688"
" beta=10000 tol=0.0001 mode=cg ","8014.73684211","16427.4561404","4362.22807018","351.842105263","0.942027266836","0.844732060312","0.661058083518","0.155267939688"
" beta=10000 tol=0.0001 mode=bf ","8014.05263158","16427.4736842","4362.21052632","352.526315789","0.941924224265","0.844765868351","0.661065570333","0.155234131649"
" beta=20000 tol=0.01 mode=cg_mg ","8065.42105263","16772.2807018","4017.40350877","301.157894737","0.93269802427","0.852380163338","0.677724467185","0.147619836662"
" beta=20000 tol=0.01 mode=cg ","8065.42105263","16772.2807018","4017.40350877","301.157894737","0.93269802427","0.852380163338","0.677724467185","0.147619836662"
" beta=20000 tol=0.01 mode=bf ","8077.45614035","16199.9649123","4589.71929825","289.122807018","0.94122221011","0.821699865421","0.641220482151","0.178300134579"
" beta=20000 tol=0.02 mode=cg_mg ","8041.98245614","16997.2982456","3792.38596491","324.596491228","0.929232276228","0.855514750401","0.673557222087","0.144485249599"
" beta=20000 tol=0.02 mode=cg ","8041.98245614","16997.2982456","3792.38596491","324.596491228","0.929232276228","0.855514750401","0.673557222087","0.144485249599"
" beta=20000 tol=0.02 mode=bf ","8077.45614035","16199.9649123","4589.71929825","289.122807018","0.94122221011","0.821699865421","0.641220482151","0.178300134579"
" beta=20000 tol=0.0001 mode=cg_mg ","8077.52631579","16200.8070175","4588.87719298","289.052631579","0.941311740391","0.821727276255","0.641572375301","0.178272723745"
" beta=20000 tol=0.0001 mode=cg ","8077.52631579","16200.8070175","4588.87719298","289.052631579","0.941311740391","0.821727276255","0.641572375301","0.178272723745"
" beta=20000 tol=0.0001 mode=bf ","8077.45614035","16199.9649123","4589.71929825","289.122807018","0.94122221011","0.821699865421","0.641220482151","0.178300134579"
" beta=30000 tol=0.01 mode=cg_mg ","8110.80701754","16338.3684211","4451.31578947","255.771929825","0.935103118849","0.823888253729","0.645632860823","0.176111746271"
" beta=30000 tol=0.01 mode=cg ","8110.80701754","16338.3684211","4451.31578947","255.771929825","0.935103118849","0.823888253729","0.645632860823","0.176111746271"
" beta=30000 tol=0.01 mode=bf ","8108.36842105","16008.9473684","4780.73684211","258.210526316","0.94174658184","0.809271418723","0.62907809975","0.190728581277"
