"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7987.36842105","16547.8070175","4241.87719298","379.210526316","0.946771558861","0.890747872167","0.733319166364","0.109252127833"
" beta=10000 tol=0.01 mode=cg ","7987.36842105","16547.8070175","4241.87719298","379.210526316","0.946771558861","0.890747872167","0.733319166364","0.109252127833"
" beta=10000 tol=0.01 mode=bf ","7377.0877193","19115.877193","1673.80701754","989.49122807","0.917431471918","0.939329043864","0.781608873214","0.0606709561359"
" beta=10000 tol=0.02 mode=cg_mg ","8207.87719298","14480.9824561","6308.70175439","158.701754386","0.973460546671","0.82211810369","0.644525928105","0.17788189631"
" beta=10000 tol=0.02 mode=cg ","8207.87719298","14480.9824561","6308.70175439","158.701754386","0.973460546671","0.82211810369","0.644525928105","0.17788189631"
" beta=10000 tol=0.02 mode=bf ","7377.0877193","19115.877193","1673.80701754","989.49122807","0.917431471918","0.939329043864","0.781608873214","0.0606709561359"
" beta=10000 tol=0.0001 mode=cg_mg ","7376.71929825","19108.6140351","1681.07017544","989.859649123","0.917510032181","0.939239202136","0.78156224287","0.0607607978643"
" beta=10000 tol=0.0001 mode=cg ","7376.71929825","19108.6140351","1681.07017544","989.859649123","0.917510032181","0.939239202136","0.78156224287","0.0607607978643"
" beta=10000 tol=0.0001 mode=bf ","7377.0877193","19115.877193","1673.80701754","989.49122807","0.917431471918","0.939329043864","0.781608873214","0.0606709561359"
" beta=20000 tol=0.01 mode=cg_mg ","8095.1754386","16059.3859649","4730.29824561","271.403508772","0.962305096182","0.85859886437","0.680061227169","0.14140113563"
" beta=20000 tol=0.01 mode=cg ","8095.1754386","16059.3859649","4730.29824561","271.403508772","0.962305096182","0.85859886437","0.680061227169","0.14140113563"
" beta=20000 tol=0.01 mode=bf ","7624.15789474","19043.3333333","1746.35087719","742.421052632","0.924962973985","0.933249309118","0.774159710333","0.0667506908819"
" beta=20000 tol=0.02 mode=cg_mg ","8265.66666667","13659.9298246","7129.75438596","100.912280702","0.986628430549","0.771067700061","0.577743297011","0.228932299939"
" beta=20000 tol=0.02 mode=cg ","8265.66666667","13659.9298246","7129.75438596","100.912280702","0.986628430549","0.771067700061","0.577743297011","0.228932299939"
" beta=20000 tol=0.02 mode=bf ","7624.15789474","19043.3333333","1746.35087719","742.421052632","0.924962973985","0.933249309118","0.774159710333","0.0667506908819"
" beta=20000 tol=0.0001 mode=cg_mg ","7625.9122807","19035.754386","1753.92982456","740.666666667","0.925320895724","0.933019254344","0.773791480762","0.0669807456556"
" beta=20000 tol=0.0001 mode=cg ","7625.9122807","19035.754386","1753.92982456","740.666666667","0.925320895724","0.933019254344","0.773791480762","0.0669807456556"
" beta=20000 tol=0.0001 mode=bf ","7624.15789474","19043.3333333","1746.35087719","742.421052632","0.924962973985","0.933249309118","0.774159710333","0.0667506908819"
" beta=30000 tol=0.01 mode=cg_mg ","8185.26315789","15519.1052632","5270.57894737","181.315789474","0.97449691236","0.825551267447","0.63863878171","0.174448732553"
" beta=30000 tol=0.01 mode=cg ","8185.26315789","15519.1052632","5270.57894737","181.315789474","0.97449691236","0.825551267447","0.63863878171","0.174448732553"
" beta=30000 tol=0.01 mode=bf ","7721.1754386","18897.3333333","1892.35087719","645.403508772","0.923947035124","0.927527759586","0.762869331902","0.0724722404137"
" beta=30000 tol=0.02 mode=cg_mg ","8285.40350877","13419.7894737","7369.89473684","81.1754385965","0.989452061823","0.757873744614","0.558980496783","0.242126255386"
" beta=30000 tol=0.02 mode=cg ","8285.40350877","13419.7894737","7369.89473684","81.1754385965","0.989452061823","0.757873744614","0.558980496783","0.242126255386"
" beta=30000 tol=0.02 mode=bf ","7721.1754386","18897.3333333","1892.35087719","645.403508772","0.923947035124","0.927527759586","0.762869331902","0.0724722404137"
" beta=30000 tol=0.0001 mode=cg_mg ","7723.94736842","18876.0526316","1913.63157895","642.631578947","0.924072762688","0.926398714307","0.760548866333","0.0736012856928"
" beta=30000 tol=0.0001 mode=cg ","7723.94736842","18876.0526316","1913.63157895","642.631578947","0.924072762688","0.926398714307","0.760548866333","0.0736012856928"
" beta=30000 tol=0.0001 mode=bf ","7721.1754386","18897.3333333","1892.35087719","645.403508772","0.923947035124","0.927527759586","0.762869331902","0.0724722404137"
" beta=40000 tol=0.01 mode=cg_mg ","8237.78947368","15009.1929825","5780.49122807","128.789473684","0.981507444917","0.804963203246","0.611325501474","0.195036796754"
" beta=40000 tol=0.01 mode=cg ","8237.78947368","15009.1929825","5780.49122807","128.789473684","0.981507444917","0.804963203246","0.611325501474","0.195036796754"
" beta=40000 tol=0.01 mode=bf ","7781.12280702","18735.4210526","2054.26315789","585.456140351","0.923119241753","0.92177429403","0.750763711771","0.0782257059697"
" beta=40000 tol=0.02 mode=cg_mg ","8289.63157895","13469.0526316","7320.63157895","76.9473684211","0.988566520195","0.763911918581","0.565852236045","0.236088081419"
" beta=40000 tol=0.02 mode=cg ","8289.63157895","13469.0526316","7320.63157895","76.9473684211","0.988566520195","0.763911918581","0.565852236045","0.236088081419"
" beta=40000 tol=0.02 mode=bf ","7781.12280702","18735.4210526","2054.26315789","585.456140351","0.923119241753","0.92177429403","0.750763711771","0.0782257059697"
" beta=40000 tol=0.0001 mode=cg_mg ","7787.63157895","18700.5789474","2089.10526316","578.947368421","0.924590146455","0.919421862473","0.746593305841","0.0805781375268"
" beta=40000 tol=0.0001 mode=cg ","7787.63157895","18700.5789474","2089.10526316","578.947368421","0.924590146455","0.919421862473","0.746593305841","0.0805781375268"
" beta=40000 tol=0.0001 mode=bf ","7781.12280702","18735.4210526","2054.26315789","585.456140351","0.923119241753","0.92177429403","0.750763711771","0.0782257059697"
