"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","7969.85964912","15833.245614","4956.43859649","396.719298246","0.936167250313","0.813433798926","0.625511745317","0.186566201074"
" beta=10000 tol=0.01 mode=cg ","7969.85964912","15833.245614","4956.43859649","396.719298246","0.936167250313","0.813433798926","0.625511745317","0.186566201074"
" beta=10000 tol=0.01 mode=bf ","7991.49122807","16081.122807","4708.56140351","375.087719298","0.939481302826","0.820952885848","0.632940383783","0.179047114152"
" beta=10000 tol=0.02 mode=cg_mg ","7948.36842105","17239.2280702","3550.45614035","418.210526316","0.918780907178","0.87891934215","0.703400721759","0.12108065785"
" beta=10000 tol=0.02 mode=cg ","7948.36842105","17239.2280702","3550.45614035","418.210526316","0.918780907178","0.87891934215","0.703400721759","0.12108065785"
" beta=10000 tol=0.02 mode=bf ","7991.49122807","16081.122807","4708.56140351","375.087719298","0.939481302826","0.820952885848","0.632940383783","0.179047114152"
" beta=10000 tol=0.0001 mode=cg_mg ","7991.96491228","16081.0526316","4708.63157895","374.614035088","0.939557820363","0.820883145467","0.632903077248","0.179116854533"
" beta=10000 tol=0.0001 mode=cg ","7991.96491228","16081.0526316","4708.63157895","374.614035088","0.939557820363","0.820883145467","0.632903077248","0.179116854533"
" beta=10000 tol=0.0001 mode=bf ","7991.49122807","16081.122807","4708.56140351","375.087719298","0.939481302826","0.820952885848","0.632940383783","0.179047114152"
" beta=20000 tol=0.01 mode=cg_mg ","8052.85964912","16662.1929825","4127.49122807","313.719298246","0.916633227292","0.852634269859","0.664167055661","0.147365730141"
" beta=20000 tol=0.01 mode=cg ","8052.85964912","16662.1929825","4127.49122807","313.719298246","0.916633227292","0.852634269859","0.664167055661","0.147365730141"
" beta=20000 tol=0.01 mode=bf ","8084.52631579","16061.4912281","4728.19298246","282.052631579","0.930210934568","0.81326900131","0.616371095731","0.18673099869"
" beta=20000 tol=0.02 mode=cg_mg ","8008.56140351","16774.2105263","4015.47368421","358.01754386","0.914588827397","0.832645679894","0.634432139697","0.167354320106"
" beta=20000 tol=0.02 mode=cg ","8008.56140351","16774.2105263","4015.47368421","358.01754386","0.914588827397","0.832645679894","0.634432139697","0.167354320106"
" beta=20000 tol=0.02 mode=bf ","8084.52631579","16061.4912281","4728.19298246","282.052631579","0.930210934568","0.81326900131","0.616371095731","0.18673099869"
" beta=20000 tol=0.0001 mode=cg_mg ","8084.80701754","16065.6315789","4724.05263158","281.771929825","0.930325858568","0.813449807811","0.616771223804","0.186550192189"
" beta=20000 tol=0.0001 mode=cg ","8084.80701754","16065.6315789","4724.05263158","281.771929825","0.930325858568","0.813449807811","0.616771223804","0.186550192189"
" beta=20000 tol=0.0001 mode=bf ","8084.52631579","16061.4912281","4728.19298246","282.052631579","0.930210934568","0.81326900131","0.616371095731","0.18673099869"
" beta=30000 tol=0.01 mode=cg_mg ","8083.75438596","16393.7368421","4395.94736842","282.824561404","0.919530191064","0.822175366657","0.626226582376","0.177824633343"
" beta=30000 tol=0.01 mode=cg ","8083.75438596","16393.7368421","4395.94736842","282.824561404","0.919530191064","0.822175366657","0.626226582376","0.177824633343"
" beta=30000 tol=0.01 mode=bf ","8123.50877193","15844.3508772","4945.33333333","243.070175439","0.928366795625","0.800703285985","0.602604242057","0.199296714015"
" beta=30000 tol=0.02 mode=cg_mg ","8001.8245614","15554.4912281","5235.19298246","364.754385965","0.914597144375","0.770421485577","0.537428239351","0.229578514423"
" beta=30000 tol=0.02 mode=cg ","8001.8245614","15554.4912281","5235.19298246","364.754385965","0.914597144375","0.770421485577","0.537428239351","0.229578514423"
" beta=30000 tol=0.02 mode=bf ","8123.50877193","15844.3508772","4945.33333333","243.070175439","0.928366795625","0.800703285985","0.602604242057","0.199296714015"
" beta=30000 tol=0.0001 mode=cg_mg ","8121.80701754","15862.9298246","4926.75438596","244.771929825","0.927136733645","0.802542400853","0.603473250571","0.197457599147"
" beta=30000 tol=0.0001 mode=cg ","8121.80701754","15862.9298246","4926.75438596","244.771929825","0.927136733645","0.802542400853","0.603473250571","0.197457599147"
" beta=30000 tol=0.0001 mode=bf ","8123.50877193","15844.3508772","4945.33333333","243.070175439","0.928366795625","0.800703285985","0.602604242057","0.199296714015"
" beta=40000 tol=0.01 mode=cg_mg ","8059.66666667","16110.8070175","4678.87719298","306.912280702","0.915239699061","0.808304716172","0.594332394666","0.191695283828"
" beta=40000 tol=0.01 mode=cg ","8059.66666667","16110.8070175","4678.87719298","306.912280702","0.915239699061","0.808304716172","0.594332394666","0.191695283828"
" beta=40000 tol=0.01 mode=bf ","8133.59649123","15631.6666667","5158.01754386","232.98245614","0.925936523762","0.790996179003","0.591425325904","0.209003820997"
" beta=40000 tol=0.02 mode=cg_mg ","8045.71929825","14767.9122807","6021.77192982","320.859649123","0.92079850091","0.738768108773","0.504067904726","0.261231891227"
" beta=40000 tol=0.02 mode=cg ","8045.71929825","14767.9122807","6021.77192982","320.859649123","0.92079850091","0.738768108773","0.504067904726","0.261231891227"
" beta=40000 tol=0.02 mode=bf ","8133.59649123","15631.6666667","5158.01754386","232.98245614","0.925936523762","0.790996179003","0.591425325904","0.209003820997"
" beta=40000 tol=0.0001 mode=cg_mg ","8131.24561404","15648.7894737","5140.89473684","235.333333333","0.92273288829","0.792800644303","0.59122098293","0.207199355697"
" beta=40000 tol=0.0001 mode=cg ","8131.24561404","15648.7894737","5140.89473684","235.333333333","0.92273288829","0.792800644303","0.59122098293","0.207199355697"
" beta=40000 tol=0.0001 mode=bf ","8133.59649123","15631.6666667","5158.01754386","232.98245614","0.925936523762","0.790996179003","0.591425325904","0.209003820997"
