"","TP","TN","FP","FN","Sensibility","Especificy","Jaccard","TFP"
" beta=10000 tol=0.01 mode=cg_mg ","8072.56140351","14486.3684211","6303.31578947","294.01754386","0.948538552015","0.764766565107","0.587680401368","0.235233434893"
" beta=10000 tol=0.01 mode=cg ","8072.56140351","14486.3684211","6303.31578947","294.01754386","0.948538552015","0.764766565107","0.587680401368","0.235233434893"
" beta=10000 tol=0.01 mode=bf ","8102.29824561","14753.1578947","6036.52631579","264.280701754","0.952216711285","0.772675278056","0.599314980971","0.227324721944"
" beta=10000 tol=0.02 mode=cg_mg ","8081.89473684","15203.0526316","5586.63157895","284.684210526","0.931653353153","0.792632087816","0.627039137847","0.207367912184"
" beta=10000 tol=0.02 mode=cg ","8081.89473684","15203.0526316","5586.63157895","284.684210526","0.931653353153","0.792632087816","0.627039137847","0.207367912184"
" beta=10000 tol=0.02 mode=bf ","8102.29824561","14753.1578947","6036.52631579","264.280701754","0.952216711285","0.772675278056","0.599314980971","0.227324721944"
" beta=10000 tol=0.0001 mode=cg_mg ","8102.0877193","14723.4912281","6066.19298246","264.49122807","0.952218622508","0.772265130769","0.599025023068","0.227734869231"
" beta=10000 tol=0.0001 mode=cg ","8102.0877193","14723.4912281","6066.19298246","264.49122807","0.952218622508","0.772265130769","0.599025023068","0.227734869231"
" beta=10000 tol=0.0001 mode=bf ","8102.29824561","14753.1578947","6036.52631579","264.280701754","0.952216711285","0.772675278056","0.599314980971","0.227324721944"
" beta=20000 tol=0.01 mode=cg_mg ","8109.94736842","14111.2631579","6678.42105263","256.631578947","0.930200320109","0.767172268039","0.597606797122","0.232827731961"
" beta=20000 tol=0.01 mode=cg ","8109.94736842","14111.2631579","6678.42105263","256.631578947","0.930200320109","0.767172268039","0.597606797122","0.232827731961"
" beta=20000 tol=0.01 mode=bf ","8132.92982456","14359.7368421","6429.94736842","233.649122807","0.947615891889","0.765293570634","0.594682818483","0.234706429366"
" beta=20000 tol=0.02 mode=cg_mg ","8117.84210526","13591.6491228","7198.03508772","248.736842105","0.922472623357","0.705213648843","0.540694365727","0.294786351157"
" beta=20000 tol=0.02 mode=cg ","8117.84210526","13591.6491228","7198.03508772","248.736842105","0.922472623357","0.705213648843","0.540694365727","0.294786351157"
" beta=20000 tol=0.02 mode=bf ","8132.92982456","14359.7368421","6429.94736842","233.649122807","0.947615891889","0.765293570634","0.594682818483","0.234706429366"
" beta=20000 tol=0.0001 mode=cg_mg ","8133.03508772","14332.5964912","6457.0877193","233.543859649","0.947553477983","0.764941542568","0.594443938873","0.235058457432"
" beta=20000 tol=0.0001 mode=cg ","8133.03508772","14332.5964912","6457.0877193","233.543859649","0.947553477983","0.764941542568","0.594443938873","0.235058457432"
" beta=20000 tol=0.0001 mode=bf ","8132.92982456","14359.7368421","6429.94736842","233.649122807","0.947615891889","0.765293570634","0.594682818483","0.234706429366"
" beta=30000 tol=0.01 mode=cg_mg ","8125.42105263","14088.7368421","6700.94736842","241.157894737","0.920597653538","0.748573658794","0.563585040321","0.251426341206"
